id,author,category,keywords,parentcatid,parentcatcode,parentcatname,parentcatslug,provider,pubDate,status,subcategoryid,subcategorycode,subcategoryname,subcategoryparentid,subcategoryparentcode,subcategoryparentname,subcategoryparentslug,subcategoryslug,title,topic,url
5a48df90670c7645a286b3bb,Katie Roof,"Technology,Mobile","Apps, App, Video, done, 8fit, techcrunch, TC",5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,techcrunch,1514697414000,classified,5a4468486f7af13a5a457c60,IAB19-67,Mobile,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,mobile,These apps will help you keep your New Year's resolutions,All,http://feedproxy.google.com/~r/Techcrunch/~3/HjDR70okdQA/
5a48df90670c7645a286b3bc,Ron Miller,"Technology,Data Centers","Cloud, Enterprise, Year End 2017, hyperscale data centers",5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,techcrunch,1514668080000,classified,5a4468486f7af13a5a457c2d,IAB19-11,Data Centers,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Data_Centers,Hyperscale data centers reached over 390 worldwide in 2017,All,http://feedproxy.google.com/~r/Techcrunch/~3/28bWdjRNxyU/
5a48df90670c7645a286b3c4,Brian Heater,"Technology,Apple","Hardware, Mobile, Apple, iPhone, battery",5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,techcrunch,1514650394000,classified,5a4468486f7af13a5a457c6d,IAB19-74,Apple,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,apple,Apple's $29 iPhone battery replacements are available starting today,All,http://feedproxy.google.com/~r/Techcrunch/~3/wEyXE8ziK_0/
5a48e006670c7645a286b3cf,Andrea Valdez,Business,,5a42ed6e527d3d240b8140d4,IAB3,Business,business,wired,1514386800000,classified,,,,,,,,,The Most-read WIRED Business Stories of 2017,Business,https://www.wired.com/story/most-read-wired-business-stories-2017
5a48e006670c7645a286b3d0,Tom Simonite,Business,"algorithms, machine learning, artificial intelligence",5a42ed6e527d3d240b8140d4,IAB3,Business,business,wired,1514296800000,classified,,,,,,,,,2017 Was The Year We Fell Out of Love with Algorithms,Business,https://www.wired.com/story/2017-was-the-year-we-fell-out-of-love-with-algorithms
5a48e006670c7645a286b3d1,Andrea Powell,Business,"startups, venture capital, VCs",5a42ed6e527d3d240b8140d4,IAB3,Business,business,wired,1514210400000,classified,,,,,,,,,On-Demand Storage Services for Your Junk,Business,https://www.wired.com/story/on-demand-storage-services-for-your-junk
5a48e006670c7645a286b3d2,Susan Wu,"Business, Opinion","Facebook, google, Twitter, ethics, election 2016",5a42ed6e527d3d240b8140d4,IAB3,Business,business,wired,1514206800000,classified,,,,,,,,,Time for Tech Firms to Take Responsibility for the Havoc They Wrought in 2017,Business,https://www.wired.com/story/its-time-for-innovators-to-take-responsibility-for-their-creations
5a48e006670c7645a286b3d3,Graham Starr,Business,"facebook, russia, 2016 election",5a42ed6e527d3d240b8140d4,IAB3,Business,business,wired,1513984277000,classified,,,,,,,,,Did You Like or Follow Facebook Pages from a Russian Troll Farm?,Business,https://www.wired.com/story/did-you-like-or-follow-facebook-pages-from-a-russian-troll-farm
5a48e006670c7645a286b3d4,Steven Levy,Business,"eric schmidt, google, alphabet, larry page, sergey brin",5a42ed6e527d3d240b8140d4,IAB3,Business,business,wired,1513969315000,classified,,,,,,,,,"At Google, Eric Schmidt Wrote the Book on Adult Supervision",Business,https://www.wired.com/story/at-google-eric-schmidt-wrote-the-book-on-adult-supervision
5a48e006670c7645a286b3d5,Klint Finley,Business,"slack, microsoft, atlassian, chat, instant messaging",5a42ed6e527d3d240b8140d4,IAB3,Business,business,wired,1513947600000,classified,,,,,,,,,Why Workplace Instant Messaging Is Hot Again,Business,https://www.wired.com/story/why-workplace-instant-messaging-is-hot-again
5a48e006670c7645a286b3d6,Klint Finley,Business,"net neutrality, 2018 election, fcc",5a42ed6e527d3d240b8140d4,IAB3,Business,business,wired,1513861200000,classified,,,,,,,,,Why Net Neutrality Will Be a Campaign Issue in 2018,Business,https://www.wired.com/story/why-net-neutrality-will-be-a-campaign-issue-in-2018
